Month,Net_Return
2008-01-31,0.016461666666666666
2008-02-29,0.06785166666666667
2008-03-31,-0.04185833333333334
2008-04-30,0.05354166666666667
2008-05-31,0.04580166666666667
2008-06-30,0.04418166666666667
2008-07-31,-0.025838333333333338
2008-08-31,-0.0038783333333333335
2008-09-30,0.010431666666666667
2008-10-31,0.010791666666666668
2008-11-30,0.08459166666666668
2008-12-31,0.033201666666666664
2009-01-31,0.04040166666666667
2009-02-28,0.03680166666666666
2009-03-31,0.027081666666666667
2009-04-30,0.006831666666666667
2009-05-31,0.10961166666666668
2009-06-30,-0.0021683333333333333
2009-07-31,0.03311166666666667
2009-08-31,0.03464166666666667
2009-09-30,0.04058166666666667
2009-10-31,0.00035166666666666674
2009-11-30,0.07793166666666668
2009-12-31,0.02654166666666667
2010-01-31,0.014931666666666668
2010-02-28,0.025641666666666663
2010-03-31,0.048051666666666666
2010-04-30,0.0016116666666666668
2010-05-31,0.03122166666666667
2010-06-30,0.036171666666666664
2010-07-31,0.04904166666666667
2010-08-31,0.061011666666666665
2010-09-30,0.04382166666666667
2010-10-31,0.04400166666666666
2010-11-30,0.005121666666666667
2010-12-31,0.07577166666666667
2011-01-31,0.09440166666666668
2011-02-28,0.011511666666666668
2011-03-31,0.023481666666666665
2011-04-30,0.025371666666666664
2011-10-31,0.035271666666666666
2011-11-30,0.06632166666666667
2011-12-31,0.02303166666666667
2012-01-31,0.03662166666666667
2012-02-29,0.01817166666666667
2012-03-31,0.014841666666666666
2012-04-30,0.012051666666666669
2012-05-31,0.002691666666666667
2012-06-30,-0.03501833333333334
2012-07-31,0.05156166666666667
2012-08-31,0.021681666666666665
2012-09-30,-0.0037883333333333337
2012-10-31,0.004761666666666667
2012-11-30,-0.011078333333333332
2012-12-31,0.005121666666666667
2013-01-31,0.026901666666666667
2013-02-28,0.010161666666666666
2013-03-31,0.004311666666666667
2013-04-30,-0.020978333333333335
2013-05-31,-0.002888333333333334
2013-06-30,0.006561666666666667
2013-07-31,0.0040416666666666665
2013-08-31,-0.04545833333333334
2013-09-30,0.016101666666666667
2013-10-31,0.002691666666666667
2013-11-30,0.01943166666666667
2013-12-31,0.033291666666666664
2014-01-31,0.03356166666666667
2014-02-28,-0.04221833333333334
2014-03-31,-0.020528333333333336
2014-04-30,0.030141666666666667
2014-05-31,0.008721666666666666
2014-06-30,8.166666666666668e-05
2014-07-31,0.018261666666666666
2014-08-31,0.03680166666666666
2014-09-30,-0.00018833333333333335
2014-10-31,-0.027908333333333334
2014-11-30,-0.0010883333333333333
2014-12-31,0.030771666666666662
2015-01-31,0.009981666666666668
2015-02-28,0.004491666666666666
2015-03-31,0.005841666666666667
2015-04-30,0.015471666666666668
2015-05-31,0.022671666666666666
2015-06-30,-0.0017183333333333334
2015-07-31,-0.01503833333333333
2015-08-31,-0.03474833333333333
2015-09-30,0.014121666666666668
2015-10-31,-0.0006383333333333335
2015-11-30,0.007731666666666667
2015-12-31,0.057861666666666665
2016-01-31,0.028431666666666668
2016-02-29,0.027261666666666663
2016-03-31,0.026361666666666665
2016-04-30,-0.036998333333333334
2016-05-31,0.027981666666666665
2016-06-30,-0.029168333333333338
2016-07-31,-0.010268333333333332
2016-08-31,0.030051666666666664
2016-09-30,-0.009818333333333335
2016-10-31,0.036531666666666664
2016-11-30,0.011061666666666668
2016-12-31,0.012681666666666667
2017-01-31,0.025011666666666665
2017-02-28,0.023121666666666662
2017-03-31,0.010791666666666668
2017-04-30,-0.004418333333333333
2017-05-31,-0.010268333333333332
2017-06-30,0.010881666666666668
2017-07-31,-0.0006383333333333335
2017-08-31,0.016101666666666667
2017-09-30,-0.005228333333333334
2017-10-31,0.028611666666666667
2017-11-30,0.04085166666666667
2017-12-31,0.015381666666666667
2018-01-31,0.023391666666666668
2018-02-28,0.010611666666666669
2018-03-31,-0.009548333333333334
2018-04-30,0.018981666666666668
2018-05-31,0.008721666666666666
2018-06-30,-0.014408333333333334
2018-07-31,0.051921666666666665
2018-08-31,0.0033216666666666668
2018-09-30,-0.008468333333333333
2018-10-31,-0.0017183333333333334
2018-11-30,0.002871666666666667
2018-12-31,0.07793166666666668
2019-01-31,0.018891666666666668
2019-02-28,0.028881666666666667
2019-03-31,0.021231666666666666
2019-04-30,0.042021666666666666
2019-05-31,-0.037088333333333334
2019-06-30,0.01988166666666667
2019-07-31,0.01925166666666667
2019-08-31,-0.0020783333333333335
2019-09-30,-0.008108333333333334
2019-10-31,0.05300166666666667
2019-11-30,0.028521666666666667
2019-12-31,0.03365166666666666
2020-01-31,-0.010088333333333335
2020-02-29,-0.03501833333333334
2020-03-31,-0.07254833333333334
2020-04-30,0.08360166666666666
2020-05-31,0.060921666666666666
2020-06-30,0.04670166666666667
2020-07-31,0.019161666666666667
2020-08-31,0.0023316666666666668
2020-09-30,0.004941666666666667
2020-10-31,0.08558166666666667
2020-11-30,0.042021666666666666
2020-12-31,0.04688166666666667
2021-01-31,0.03797166666666667
2021-02-28,0.006651666666666667
2021-03-31,0.02924166666666667
2021-04-30,0.051831666666666665
2021-05-31,0.028971666666666666
2021-06-30,0.048501666666666665
2021-07-31,0.017001666666666665
2021-08-31,0.06659166666666666
2021-09-30,0.020871666666666667
2021-10-31,0.02960166666666667
2021-11-30,0.03707166666666667
2021-12-31,0.05588166666666667
2022-01-31,0.055071666666666665
2022-02-28,-0.0010883333333333333
2022-03-31,0.01421166666666667
2022-04-30,0.06983166666666667
2022-05-31,0.07253166666666667
2022-06-30,-0.0033383333333333338
2022-07-31,0.002691666666666667
2022-08-31,0.05021166666666667
2022-09-30,0.01799166666666667
2022-10-31,0.05570166666666667
2022-11-30,0.03347166666666667
2022-12-31,0.032841666666666665
2023-01-31,0.04967166666666666
2023-02-28,0.060201666666666674
2023-03-31,0.0005316666666666667
2023-04-30,0.013401666666666668
2023-05-31,0.04823166666666667
2023-06-30,0.0019716666666666667
2023-07-31,0.03194166666666667
2023-08-31,0.054531666666666666
2023-09-30,-0.005318333333333334
2023-10-31,0.036171666666666664
2023-11-30,0.01835166666666667
2023-12-31,0.012321666666666668
2024-01-31,0.06911166666666667
2024-02-29,0.041751666666666666
2024-03-31,0.014841666666666666
2024-04-30,-0.01827833333333333
2024-05-31,0.03437166666666666
2024-06-30,0.027261666666666663
2024-07-31,0.009351666666666668
2024-08-31,0.01637166666666667
2024-09-30,-0.059318333333333334
2024-10-31,0.08450166666666668
2024-11-30,0.06866166666666666
2024-12-31,0.051831666666666665
2025-01-31,-0.014228333333333334
2025-02-28,0.023211666666666665
2025-03-31,0.04535166666666667
2025-04-30,-0.09459833333333333
2025-05-31,0.06047166666666667
2025-06-30,0.03158166666666666
2025-07-31,0.04184166666666667
2025-08-31,0.04931166666666667
2025-09-30,0.024021666666666667
2025-10-31,0.03194166666666667
