Date,Return
2021-10-01,0.012
2021-11-01,0.003
2021-12-01,0.009000000000000001
2022-01-01,-0.016
2022-02-01,-0.002
2022-03-01,-0.017
2022-04-01,0.01
2022-05-01,0.006
2022-06-01,-0.023
2022-07-01,0.024
2022-08-01,-0.001
2022-09-01,-0.008
2022-10-01,-0.009000000000000001
2022-11-01,0.008
2022-12-01,0.013000000000000001
2023-01-01,0.01
2023-02-01,-0.011000000000000001
2023-03-01,0.003
2023-04-01,0.01
2023-05-01,0.002
2023-06-01,0.01
2023-07-01,0.023
2023-08-01,0.012
2023-09-01,0.018000000000000002
2023-10-01,0.01
2023-11-01,0.03
2023-12-01,0.022000000000000002
2024-01-01,-0.009000000000000001
2024-02-01,0.033
2024-03-01,0.02
2024-04-01,-0.015
2024-05-01,0.005
2024-06-01,0.038
2024-07-01,0.027999999999999997
2024-08-01,0.009000000000000001
2024-09-01,0.006999999999999999
2024-10-01,0.01
2024-11-01,0.009000000000000001
2024-12-01,-0.018000000000000002
2025-01-01,0.013000000000000001
2025-02-01,0.025
2025-03-01,-0.019
2025-04-01,0.008
2025-05-01,0.012
2025-06-01,0.013999999999999999
2025-07-01,0.002
2025-08-01,0.017
2025-09-01,0.040999999999999995
2025-10-01,0.026000000000000002
2025-11-01,-0.009000000000000001
2025-12-01,-0.016
2026-01-01,0.040999999999999995
2026-02-01,0.013000000000000001
2026-03-01,0.004
